test_part_idx,batch_idx,trials_idx,cues,actions,rewards,forgone_rewards,opt_actions,regrets,entropy,policy0,policy1,value_fn
0,0,0,3.0,1.0,0.5,0.0,1.0,0.0,0.009839874,0.0012852234,0.9987148,1.3327351
0,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0051064813,0.0006074897,0.9993925,1.4668723
0,0,2,0.0,0.0,0.5,0.5,0.0,0.0,0.0030105049,0.9996656,0.00033438823,1.3212823
0,0,3,3.0,1.0,0.0,0.5,1.0,0.0,0.0034832386,0.00039409372,0.99960595,1.6530282
0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0012817789,0.99987125,0.00012871799,1.4847717
0,0,5,1.0,1.0,0.0,0.0,1.0,0.0,0.003578024,0.00040620312,0.9995938,1.3832189
0,0,6,2.0,1.0,0.0,0.5,0.0,0.25,0.0033898547,0.00038219918,0.9996178,1.2705227
0,0,7,2.0,0.0,0.5,0.0,0.0,0.0,0.0017837441,0.999814,0.00018600517,1.2989272
0,0,8,3.0,1.0,0.0,0.5,1.0,0.0,0.01630027,0.0023050637,0.9976949,1.2480112
0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0014193257,0.99985576,0.00014417488,1.2610918
0,0,10,2.0,0.0,0.5,0.0,0.0,0.0,0.0010943585,0.999892,0.00010799456,1.2851936
0,0,11,2.0,0.0,0.5,0.0,0.0,0.0,0.0020452384,0.99978334,0.00021672458,1.4957608
0,0,12,2.0,0.0,0.5,0.0,0.0,0.0,0.0012103026,0.99987924,0.00012077119,1.5417144
0,0,13,3.0,0.0,0.5,0.5,0.0,0.0,0.059551734,0.9892209,0.010779116,1.442829
0,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0052611944,0.9993716,0.0006284323,1.4072421
0,0,15,1.0,0.0,0.0,0.5,1.0,0.25,0.12553611,0.97261363,0.027386375,1.6763602
0,0,16,2.0,0.0,0.5,0.5,0.0,0.0,0.0014510497,0.9998522,0.00014776883,1.5697813
0,0,17,1.0,1.0,0.5,0.0,1.0,0.0,0.0016803575,0.00017402136,0.999826,1.2551563
0,0,18,1.0,1.0,0.5,0.0,1.0,0.0,0.0014674603,0.00014963266,0.9998504,1.5142264
0,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.02395155,0.9963819,0.003618053,1.3062733
0,0,20,3.0,0.0,0.5,0.0,0.0,0.0,0.0017038571,0.9998233,0.00017673535,1.4287796
0,0,21,2.0,0.0,0.5,0.5,0.0,0.0,0.0010082163,0.9999014,9.8612814e-05,1.5489148
0,0,22,0.0,0.0,0.5,0.0,0.0,0.0,0.0032839798,0.99963117,0.00036877327,1.3650099
0,0,23,2.0,0.0,0.5,0.0,0.0,0.0,0.002129608,0.9997732,0.0002267619,1.7574221
0,0,24,3.0,0.0,0.5,0.5,0.0,0.0,0.002370498,0.99974436,0.00025568105,1.6948341
0,0,25,0.0,0.0,0.0,0.5,0.0,0.0,0.015482805,0.9978289,0.002171062,1.539265
0,0,26,1.0,1.0,0.0,0.0,1.0,0.0,0.0022601325,0.00024237929,0.9997576,1.4974535
0,0,27,3.0,0.0,0.5,0.0,0.0,0.0,0.017263647,0.99753535,0.0024646644,1.6415869
0,0,28,1.0,1.0,0.5,0.5,1.0,0.0,0.0030830859,0.00034347645,0.99965656,1.5102074
0,0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.004780063,0.9994363,0.00056363316,1.4657629
0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0016833779,0.99982566,0.00017436918,1.3758895
0,0,31,3.0,0.0,0.5,0.5,0.0,0.0,0.0015565282,0.99984014,0.00015977869,1.5605471
0,0,32,3.0,0.0,0.0,0.5,0.0,0.0,0.0019482283,0.9997948,0.00020527604,1.6844938
0,0,33,2.0,0.0,0.5,0.0,0.0,0.0,0.0019788053,0.9997912,0.00020886876,1.6959723
0,0,34,1.0,1.0,0.5,0.5,1.0,0.0,0.0035995939,0.00040896997,0.99959105,1.5387467
0,0,35,2.0,0.0,0.5,0.0,0.0,0.0,0.0017917975,0.999813,0.00018694878,1.7137138
0,0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0026200176,0.99971396,0.00028605497,1.3351076
0,0,37,3.0,0.0,0.5,0.0,0.0,0.0,0.002783676,0.9996939,0.00030618967,1.5846899
0,0,38,2.0,0.0,0.0,0.0,0.0,0.0,0.0016860762,0.9998253,0.00017467503,1.769858
0,0,39,2.0,0.0,0.5,0.5,0.0,0.0,0.0036000847,0.99959093,0.00040903332,1.56288
0,0,40,1.0,1.0,0.5,0.5,1.0,0.0,0.0009709022,9.457871e-05,0.99990547,1.5697839
0,0,41,3.0,0.0,0.0,0.0,0.0,0.0,0.0028848366,0.99968123,0.00031873467,1.6265782
0,0,42,1.0,1.0,0.5,0.0,1.0,0.0,0.001510978,0.00015458342,0.9998454,1.6468028
0,0,43,3.0,0.0,0.0,0.5,0.0,0.0,0.006996186,0.99913067,0.0008693923,1.6162491
0,0,44,3.0,0.0,0.5,0.5,0.0,0.0,0.0017239662,0.999821,0.00017905717,1.5385435
0,0,45,3.0,0.0,0.5,0.5,0.0,0.0,0.001695379,0.9998242,0.00017575095,1.5799557
0,0,46,3.0,0.0,0.5,0.5,0.0,0.0,0.0033969923,0.99961686,0.00038310824,1.6251438
0,0,47,3.0,0.0,0.0,0.0,0.0,0.0,0.0041412045,0.9995209,0.00047912527,1.6461515
0,0,48,3.0,0.0,0.5,0.5,0.0,0.0,0.0025337217,0.99972445,0.000275502,1.6846966
0,0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.003358381,0.99962175,0.00037820174,1.4124013
0,0,50,2.0,0.0,0.0,0.5,0.0,0.0,0.0035556408,0.99959666,0.00040333715,1.5720599
0,0,51,2.0,0.0,0.5,0.0,0.0,0.0,0.0019750497,0.99979156,0.00020843008,1.6067065
0,0,52,1.0,1.0,0.5,0.5,1.0,0.0,0.0018910026,0.00019854281,0.99980146,1.6303028
0,0,53,1.0,1.0,0.5,0.0,1.0,0.0,0.002840542,0.00031322864,0.99968684,1.5789227
0,0,54,1.0,1.0,0.0,0.0,1.0,0.0,0.0021539629,0.00022966432,0.99977034,1.5640645
0,0,55,2.0,0.0,0.0,0.0,0.0,0.0,0.0020858452,0.99977845,0.0002215509,1.673425
0,0,56,2.0,0.0,0.5,0.0,0.0,0.0,0.0024495842,0.9997347,0.00026526215,1.5048257
0,0,57,1.0,1.0,0.0,0.5,1.0,0.0,0.0014781824,0.00015084632,0.9998491,1.5566978
0,0,58,3.0,0.0,0.5,0.0,0.0,0.0,0.0043910057,0.999488,0.0005119503,1.538507
0,0,59,2.0,0.0,0.5,0.5,0.0,0.0,0.00232882,0.99974936,0.0002506447,1.5995727
0,0,60,2.0,0.0,0.0,0.0,0.0,0.0,0.0022161189,0.99976295,0.00023710255,1.3863239
0,0,61,2.0,0.0,0.5,0.5,0.0,0.0,0.0032321352,0.9996377,0.00036222296,1.5795492
0,0,62,0.0,0.0,0.5,0.0,0.0,0.0,0.003264361,0.99963367,0.00036629575,1.2608206
0,0,63,0.0,0.0,0.5,0.0,0.0,0.0,0.0046944283,0.99944776,0.00055220304,1.3065588
0,0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0015844196,0.99983704,0.00016297758,1.3760593
0,0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0018849242,0.9998022,0.0001978302,1.4128636
0,0,66,1.0,1.0,0.5,0.0,1.0,0.0,0.0024020472,0.0002594992,0.99974054,1.5257337
0,0,67,0.0,0.0,0.0,0.0,0.0,0.0,0.001443252,0.99985313,0.00014688633,1.3921512
0,0,68,0.0,0.0,0.0,0.5,0.0,0.0,0.00508164,0.99939585,0.00060413417,1.3430625
0,0,69,1.0,1.0,0.5,0.0,1.0,0.0,0.00093246676,9.043755e-05,0.9999095,1.5372247
0,0,70,1.0,1.0,0.5,0.5,1.0,0.0,0.0015448335,0.0001584459,0.9998416,1.5282587
0,0,71,0.0,0.0,0.5,0.0,0.0,0.0,0.0026494572,0.99971026,0.00028966245,1.2865108
0,0,72,2.0,0.0,0.0,0.0,0.0,0.0,0.003972079,0.99954295,0.0004570638,1.5670713
