plot_idx,loss,policy_loss,value_loss,entropy_sum
0,0,1143.61767578125,-326.1219787597656,6307.390625,1683.95556640625
0,1,575.35595703125,-1197.0517578125,6896.0546875,1676.2901611328125
0,2,610.4019775390625,-866.9579467773438,6398.88720703125,1723.46240234375
0,3,298.852294921875,-670.9452514648438,5431.78515625,1748.19287109375
0,4,265.03173828125,-959.4073486328125,5948.04296875,1752.38623046875
0,5,357.81982421875,-1442.28173828125,7102.888671875,1754.8524169921875
0,6,208.1182861328125,-848.9213256835938,5615.1259765625,1754.734619140625
0,7,207.6494140625,-1149.4158935546875,6206.6982421875,1751.1871337890625
0,8,201.4669189453125,-1644.8226318359375,7191.64697265625,1755.150390625
0,9,88.8941650390625,-1376.8094482421875,6426.31201171875,1753.7659912109375
0,10,-42.5823974609375,-1517.211669921875,6436.0966796875,1750.4207763671875
0,11,262.209716796875,-1047.346923828125,6100.12939453125,1748.2001953125
0,12,59.1544189453125,-1120.401123046875,5839.72314453125,1748.6998291015625
0,13,-56.3868408203125,-1319.962158203125,5998.1689453125,1744.5810546875
0,14,186.2464599609375,-1266.910400390625,6347.0166015625,1730.0396728515625
0,15,82.8134765625,-1238.94873046875,6108.5390625,1742.965087890625
0,16,119.713134765625,-1529.41748046875,6747.576171875,1735.766357421875
0,17,-170.898681640625,-1161.99609375,5432.62158203125,1737.025146484375
0,18,44.3428955078125,-845.02001953125,5224.0322265625,1735.146240234375
0,19,323.060546875,-1150.0869140625,6395.08447265625,1737.6005859375
0,20,-187.5013427734375,-1172.8148193359375,5403.70703125,1730.3831787109375
0,21,63.929931640625,-1655.6812744140625,6865.13427734375,1727.4666748046875
0,22,195.4224853515625,-1467.403564453125,6749.2392578125,1726.9912109375
0,23,72.1705322265625,-997.3461303710938,5546.40576171875,1719.505615234375
0,24,118.4556884765625,-1208.7568359375,6049.8564453125,1714.1717529296875
0,25,311.8580322265625,-1552.2054443359375,7113.89697265625,1709.98486328125
0,26,34.6925048828125,-1249.7841796875,5929.810546875,1698.0887451171875
0,27,41.11572265625,-1498.0906982421875,6425.65625,1691.8941650390625
0,28,-73.901611328125,-1327.171630859375,5856.8486328125,1694.1285400390625
0,29,-37.2139892578125,-1126.83447265625,5532.94482421875,1696.53173828125
1000,999,622.9508666992188,-1206.9365234375,5394.24365234375,1444.4278564453125
1000,1000,949.4984741210938,-1063.3837890625,5736.5546875,1425.658447265625
1000,1001,635.1787109375,-945.423828125,4822.04296875,1384.954833984375
1000,1002,650.9881591796875,-1212.33984375,5372.0126953125,1372.961181640625
1000,1003,629.4047241210938,-1216.8043212890625,5373.849609375,1404.0009765625
1000,1004,611.3641357421875,-1091.561279296875,5161.9970703125,1467.3681640625
1000,1005,839.9346313476562,-1325.5279541015625,6065.13916015625,1450.01171875
1000,1006,742.9752807617188,-1164.709228515625,5566.84765625,1465.42724609375
1000,1007,927.2484741210938,-1160.8594970703125,5830.58935546875,1385.1083984375
1000,1008,751.6889038085938,-1285.462158203125,5824.36376953125,1466.204345703125
1000,1009,854.23974609375,-1159.5902099609375,5794.10302734375,1480.92138671875
1000,1010,945.2242431640625,-1018.4791259765625,5582.1494140625,1388.2069091796875
1000,1011,767.9871215820312,-1142.7716064453125,5469.43017578125,1383.405517578125
1000,1012,752.3701171875,-1130.654541015625,5419.37451171875,1388.882080078125
1000,1013,726.4762573242188,-1111.7242431640625,5357.91455078125,1413.51171875
1000,1014,747.6708984375,-1193.125244140625,5559.388671875,1411.336181640625
1000,1015,926.7062377929688,-1007.2811889648438,5471.3037109375,1349.6033935546875
1000,1016,843.8397216796875,-1108.7659912109375,5607.01708984375,1433.461669921875
1000,1017,784.6929931640625,-1291.6514892578125,5832.4716796875,1415.8653564453125
1000,1018,807.1342163085938,-1057.376708984375,5309.25830078125,1332.85791015625
1000,1019,493.7412109375,-1158.69384765625,4952.09765625,1390.300048828125
1000,1020,496.73345947265625,-1033.1861572265625,4634.91259765625,1330.2984619140625
1000,1021,736.5972900390625,-1031.8619384765625,5195.9111328125,1402.1236572265625
1000,1022,758.0318603515625,-1271.260498046875,5696.7109375,1385.4248046875
1000,1023,703.8590698242188,-1216.9185791015625,5568.81787109375,1461.7998046875
1000,1024,723.6549072265625,-1250.92578125,5619.6728515625,1414.7286376953125
1000,1025,932.6397094726562,-1072.1883544921875,5646.57421875,1387.21875
1000,1026,687.6182250976562,-1123.3541259765625,5352.11279296875,1467.23876953125
1000,1027,777.0650024414062,-1280.43701171875,5850.5458984375,1472.795166015625
1000,1028,705.066650390625,-1383.8583984375,5840.6748046875,1412.04541015625
2000,1999,2145.513427734375,-424.7123107910156,5427.466796875,716.1052856445312
2000,2000,1954.8992919921875,-563.3067016601562,5366.423828125,825.02978515625
2000,2001,1729.1588134765625,-580.25048828125,4933.48095703125,788.2325439453125
2000,2002,1530.303466796875,-456.5166320800781,4296.4697265625,810.3153686523438
2000,2003,1694.4681396484375,-438.5286560058594,4553.80322265625,723.8673095703125
2000,2004,1877.919921875,-649.4508056640625,5381.62646484375,823.8031005859375
2000,2005,1583.153076171875,-592.709228515625,4706.984375,897.1206665039062
2000,2006,1973.768798828125,-553.436767578125,5366.82421875,790.518798828125
2000,2007,1812.9154052734375,-404.5355529785156,4749.17919921875,796.8492431640625
2000,2008,1717.62939453125,-487.63580322265625,4685.89404296875,699.60302734375
2000,2009,2038.880859375,-576.433349609375,5554.0244140625,823.3094482421875
2000,2010,1753.5672607421875,-543.387451171875,4906.6494140625,797.805908203125
2000,2011,1721.809326171875,-490.73724365234375,4731.7451171875,783.875
2000,2012,1834.4522705078125,-477.89935302734375,4888.41064453125,675.47998046875
2000,2013,1737.5316162109375,-560.2637939453125,4861.47509765625,682.4547119140625
2000,2014,1797.6080322265625,-399.0112609863281,4668.759765625,708.6454467773438
2000,2015,1838.365478515625,-624.913818359375,5228.5009765625,778.2018432617188
2000,2016,1838.316650390625,-750.0120239257812,5509.2451171875,858.9561157226562
2000,2017,1712.8931884765625,-496.3870544433594,4755.990234375,873.2651977539062
2000,2018,1813.9730224609375,-471.6746520996094,4892.72021484375,833.5703735351562
2000,2019,1641.3543701171875,-567.1341552734375,4688.916015625,706.7020263671875
2000,2020,1929.72802734375,-587.2706909179688,5306.37109375,709.3060302734375
2000,2021,1793.4346923828125,-454.3478088378906,4776.44970703125,732.9977416992188
2000,2022,1750.3798828125,-598.0277709960938,5013.8369140625,829.0313110351562
2000,2023,1878.95751953125,-496.66900634765625,5018.0126953125,699.0556640625
2000,2024,1811.6953125,-352.38458251953125,4563.02099609375,616.7576904296875
2000,2025,1787.1580810546875,-378.502685546875,4573.3857421875,637.01123046875
2000,2026,1841.18359375,-378.30072021484375,4713.3193359375,723.4985961914062
2000,2027,1816.00341796875,-588.4281616210938,5111.8525390625,800.7114868164062
2000,2028,1804.791015625,-527.20068359375,4978.85498046875,833.8762817382812
3000,2999,2145.390380859375,-54.9342155456543,4400.6494140625,180.91000366210938
3000,3000,2172.136474609375,-53.08847427368164,4450.44970703125,156.5212860107422
3000,3001,2086.591064453125,9.988907814025879,4153.2041015625,139.516845703125
3000,3002,2426.37939453125,-75.06078338623047,5002.88037109375,144.97555541992188
