agent,cognitive_model,run,nll,bic,beta,alpha_conf,alpha_disconf,alpha_pos_chosen,alpha_pos_unchosen,alpha_neg_chosen,alpha_neg_unchosen
human,Model_2alpha,0,88.59528511941443,196.57497476789,2.766336902579085,0.1318236420521801,0.14060281989844872,,,,
human,Model_2alpha,1,19.175652254504488,57.73570903807013,6.612777882522068,0.22501625358995078,0.10628446993708399,,,,
human,Model_2alpha,2,47.76873992303795,114.92188437513704,4.370316106395955,0.20387383437470438,0.05770585897138766,,,,
human,Model_2alpha,3,50.46947933119559,120.32336319145233,3.146690408029884,0.18107413931005048,0.029934256363667266,,,,
human,Model_2alpha,4,46.050167135782424,111.48473880062599,1.9212341526510284,0.7209374296088632,0.06603964044424938,,,,
human,Model_2alpha,5,51.5325303860094,122.44946530107995,2.2502360659870835,0.49485059682612187,0.07698824547894181,,,,
human,Model_2alpha,6,69.16400381813612,157.7124121653334,2.8945147089215477,0.1481896658361846,0.026918800536248438,,,,
human,Model_2alpha,7,45.38429726352833,110.1529990561178,3.128371331786705,0.29807550393585575,0.023288260295241236,,,,
human,Model_2alpha,8,52.08558329033296,123.55557110972708,1.904739066908975,0.6907955929238359,0.08104555776253067,,,,
human,Model_2alpha,9,35.73376724688185,90.85193902282484,2.8927007234453175,0.32542315540782674,0.08393388890595978,,,,
human,Model_2alpha,10,39.870908369385845,99.12622126783285,2.297590900977051,0.6553424327473264,0.07627824978917669,,,,
human,Model_2alpha,11,86.8722279863333,193.12886050172776,1.2398746963112732,0.5541775785138137,0.045037723819583195,,,,
human,Model_2alpha,12,33.1905180129852,85.76544055503155,11.848796992591867,0.11274240584668924,0.0743273237120326,,,,
human,Model_2alpha,13,50.455700686880355,120.29580590282185,2.170382322033783,0.5087186135240378,0.11852254025858526,,,,
human,Model_2alpha,14,43.563554455503215,106.51151344006757,1.957318406795136,0.5250124612523748,0.01529933651153427,,,,
human,Model_2alpha,15,45.21571970129524,109.81584393165164,2.230512563067987,0.6064049267896943,0.17554314721281974,,,,
human,Model_2alpha,16,65.70344881871205,150.79130216648525,2.040748499990767,0.3210706850257516,0.04792088410382791,,,,
human,Model_2alpha,17,53.563361408953014,126.51112734696719,1.9456358417650899,0.4733096913099252,0.031045318313054803,,,,
human,Model_2alpha,18,35.636892909252396,90.65819034756595,2.501436025955257,0.5209850486105665,0.03445469324660531,,,,
human,Model_2alpha,19,64.21986283133847,147.8241301917381,1.4014478568884656,0.5265641748678098,0.020127822483123767,,,,
human,Model_2alpha,20,29.318200371849716,78.02080527276058,5.264066567519512,0.2851014986746584,0.07963321533674923,,,,
human,Model_2alpha,21,51.744451887850495,122.87330830476213,1.889424109401301,0.4933330273015184,0.04176229904700684,,,,
human,Model_2alpha,22,39.15269173111676,97.68978799129468,3.4648887412302525,0.3575236309386739,0.10548849673110067,,,,
human,Model_2alpha,23,44.44863579117004,108.28167611140123,2.571921197016501,0.5506534151908501,0.150543187061826,,,,
human,Model_4alpha,0,88.54535894649486,209.3980587747583,2.5531800835945693,,,0.16966855699293146,0.16351996036165997,0.1399909251119315,0.13133309398932758
human,Model_4alpha,1,19.010862490195493,70.32906586215958,6.129638982236836,,,0.28857741790918967,0.08670617642581535,0.18152197568443176,0.2327549588434337
human,Model_4alpha,2,46.09887728704214,124.50509545585288,5.449662453732552,,,0.18486572778337348,0.021110569721843223,0.11858814852520869,0.15476680894590306
human,Model_4alpha,3,50.358353427484175,133.02404773673695,4.1979369047608985,,,0.1377262988853805,0.06031032896367745,0.012088185192898034,0.12420067059857241
human,Model_4alpha,4,45.96477000406198,124.23688088989255,2.27699472542993,,,0.7233903688179554,0.06728113351648746,0.07899611745587946,0.38870965678133884
human,Model_4alpha,5,46.17328394025586,124.65390876228031,2.3987866697678655,,,0.43240296185367333,0.009666514802613142,0.31256500541795673,0.648548268708245
human,Model_4alpha,6,67.20544610870164,166.71823309917187,3.7865707227071375,,,0.18559387596200855,0.004600742847274979,0.08697094375302913,0.09440806857359596
human,Model_4alpha,7,44.60371226764725,121.5147654170631,3.2442508601042968,,,0.48524892055544594,0.012834144449732326,0.0768112662739854,0.24157216752836663
human,Model_4alpha,8,49.78447317781716,131.87628723740292,2.069690013745321,,,0.6285992221117919,0.05370182208281669,0.25710020628763713,0.7675882522211873
human,Model_4alpha,9,34.90880276401575,102.12494640980009,3.0828684387897964,,,0.48533012869344977,0.038450419219410836,0.10588680994911748,0.14916961405750884
human,Model_4alpha,10,34.946964487696206,102.20126985716101,4.783866933400194,,,0.369697797666125,0.005933740118004289,0.27823914175642384,0.21638952711679163
