agent,cognitive_model,run,nll,bic,beta,alpha_forced,alpha_pos_free,alpha_neg_free,alpha_pos_forced,alpha_neg_forced
meta-rl,Model_4alpha,5,19.615161182560023,70.09925288462972,16.56272051148673,,0.1932270262831962,0.0804891641525787,0.08256965105480918,0.1537670165084063
meta-rl,Model_4alpha,6,19.22437761584573,69.31768575120114,13.556135315357109,,0.3740629148102426,0.02898783614255102,0.27317522005331984,0.09686540936810589
meta-rl,Model_4alpha,7,30.11030879072054,91.08954810095076,13.06611904876775,,0.2208969964357629,0.12127665603179404,0.0931714410065686,0.19950286368193992
meta-rl,Model_4alpha,8,24.954671089050727,80.77827269761113,13.260081437368553,,0.13918241146083804,0.02261561512254166,0.1922149115179358,0.08300593773957884
meta-rl,Model_4alpha,9,21.97911782788171,74.8271661752731,12.867746204494281,,0.7849585523983148,0.028507509088999176,0.25181214155867976,0.08126126363321576
meta-rl,Model_4alpha,10,18.016442473605192,66.90181546672007,20.933247496228805,,0.22730836968079535,0.040024294700795,0.1515311365154706,0.16479196165690027
meta-rl,Model_4alpha,11,29.823537549330354,90.5160056181704,11.178274881555543,,0.21636008645034574,0.06607659241182635,0.18212581451733714,0.1294785329162932
meta-rl,Model_4alpha,12,24.45949300907849,79.78791653766666,9.529588470840299,,0.25302889297152137,0.04215524949500787,0.16568916958736202,0.14835856889150803
meta-rl,Model_4alpha,13,6.455991636615174,43.78091379274003,11.531774383616296,,0.5803758042907516,0.11649023226760052,0.2842279713558762,0.3189698896186164
meta-rl,Model_4alpha,14,12.916954185234228,56.70283888997814,11.784957230594218,,0.3681449653269776,0.17077524931305513,0.1325928139222694,0.30691668030371105
meta-rl,Model_4alpha,15,14.48871569227284,59.846361904055364,13.155014422968744,,0.24742946854294628,0.10661832052153655,0.15461885001534192,0.13304636955892093
meta-rl,Model_4alpha,16,13.499619763903286,57.868170047316255,10.734965000475084,,0.191092504810731,0.09909143661222788,0.05038214159072633,0.23342965684447603
meta-rl,Model_4alpha,17,14.877792365039774,60.62451524958923,20.65412731127628,,0.1365591476869349,0.10932493557998677,0.11704453484522542,0.1383350206544235
meta-rl,Model_4alpha,18,38.769776946716036,108.40848441294176,13.199094758075937,,0.2082266662089624,0.04527292829321274,0.129656589377237,0.13297752528269338
meta-rl,Model_4alpha,19,22.20854220744824,75.28601493440615,25.678121728456738,,0.08382619385628175,0.027085083702275855,0.10725372330655213,0.029843070117165225
meta-rl,Model_4alpha,20,26.512202620674543,83.89333576085878,5.761968112350261,,0.7569277070746182,0.034647439335459135,0.1591604078687645,0.30047367324058394
meta-rl,Model_4alpha,21,10.317819138752366,51.504568797014414,15.017080592636905,,0.19452734737779234,0.0911382940372561,0.1398598763557018,0.15860255241179053
meta-rl,Model_4alpha,22,22.03805090700498,74.94503233351963,21.61277398754724,,0.09960212508743377,0.07120637654083202,0.09824641666370831,0.1204203799092909
meta-rl,Model_4alpha,23,8.359662074827302,47.588254669164286,16.122546200795373,,0.513799776227179,0.19274921442947213,0.19165392478517648,0.1809263045305737
