exp_name,agent,cognitive_model,measure,mean,sem
agency,human,Model_4alpha,alpha_neg_free,0.159,0.053
agency,human,Model_4alpha,alpha_pos_forced,0.142,0.039
agency,human,Model_4alpha,alpha_neg_forced,0.251,0.042
agency,meta-rl,Model_3alpha,pp,0.853,0.039
agency,meta-rl,Model_3alpha,nll,21.062,1.733
agency,meta-rl,Model_3alpha,bic,66.82,3.465
agency,meta-rl,Model_3alpha,beta,13.012,0.895
agency,meta-rl,Model_3alpha,alpha_forced,0.153,0.008
agency,meta-rl,Model_3alpha,alpha_pos_free,0.28,0.035
agency,meta-rl,Model_3alpha,alpha_neg_free,0.066,0.008
agency,meta-rl,Model_4alpha,pp,0.147,0.039
agency,meta-rl,Model_4alpha,nll,20.178,1.636
agency,meta-rl,Model_4alpha,bic,71.225,3.271
agency,meta-rl,Model_4alpha,beta,14.273,0.889
agency,meta-rl,Model_4alpha,alpha_pos_free,0.275,0.04
agency,meta-rl,Model_4alpha,alpha_neg_free,0.072,0.01
agency,meta-rl,Model_4alpha,alpha_pos_forced,0.152,0.012
agency,meta-rl,Model_4alpha,alpha_neg_forced,0.166,0.015
